类别,指标,单位,nodes=512,nodes=1024,nodes=2048,nodes=4096
性能,boom_cycles,cycle,1011467,2127321,4982237,13102551
性能,boom_inst,inst,649956,1499780,4182469,13480004
性能,IPC,inst/cycle,0.643,0.705,0.839,1.029

访存总量,checker 统计 store,条,60570,185018,630522,2307962
访存总量,checker 统计 load,条,95062,175510,434710,1346326
访存总量,store/node,条,117.914,180.214,307.159,562.24
访存总量,load/node,条,185.402,171.094,211.769,327.764
每包平均,包数（VERIFY packages allocated）,个,280,537,1385,4388

每包平均,store/包,条/包,215.614,343.648,454.196,524.825
每包平均,  ├ cacheable store/包,条/包,215.439,343.557,454.161,524.814
每包平均,  └ uncacheable store/包,条/包,0.175,0.091,0.035,0.011
每包平均,load/包,条/包,339.021,326.257,313.143,305.953
每包平均,  ├ cacheable load/包,条/包,332.368,319.972,308.511,303.111
每包平均,  ├ uncacheable load/包,条/包,1.061,0.553,0.214,0.068
每包平均,  └ load forward/包,条/包,5.593,5.732,4.417,2.774

每包平均,访存总数/包,条/包,554.636,669.905,767.339,830.778
每包平均,L1→L2 请求/包,条/包,4.054,4.402,3.205,2.162
每包平均,dcache L1→L2/包,条/包,3.857,4.304,3.164,2.147
每包平均,需校验写回/包,条/包,2.161,3.456,2.89,2.101
每包平均,cycles/包,cycle/包,3612.382,3961.492,3597.283,2985.996
每包平均,inst/包,inst/包,2321.271,2792.886,3019.833,3072.015
访存行为,store cacheable 占比,%,99.919,99.973,99.992,99.998
访存行为,store uncacheable 占比,%,0.081,0.027,0.007789,0.002128
访存行为,load cacheable 占比,%,98.037,98.074,98.521,99.071
访存行为,load uncacheable 占比,%,0.313,0.17,0.068,0.022
访存行为,load forward 占比,%,1.65,1.757,1.411,0.907
访存行为,store/1000 cycles,条,59.688,86.747,126.261,175.762
访存行为,load/1000 cycles,条,93.85,82.357,87.05,102.462
访存行为,包/1000 cycles,个,0.277,0.252,0.278,0.335
访存行为,L1→L2 cache line 请求 l1_l2_c,条,1135,2364,4439,9485
访存行为,L1→L2 请求/1000 cycles,条,1.122,1.111,0.891,0.724
访存行为,L1→L2 请求/1000 cycles/节点,条,2.192,1.085,0.435,0.177



L1→L2,dcache wb_dirty,条,1080,2311,4382,9420
L1→L2,verify_required（=dirty_wb total）,条,605,1856,4002,9219
L1→L2,写回时未校验 unverified,条,342,681,1383,2878
L1→L2,未校验占比,%,56.529,36.692,34.558,31.218
延迟-L1→L2,延迟事件数 events,次,342,681,1383,2878
延迟-L1→L2,平均多久发生一次（间隔）,cycle,2957.506,3123.819,3602.485,4552.658
延迟-L1→L2,平均多久发生一次（间隔）,ns,14787.529,15619.097,18012.426,22763.292
延迟-L1→L2,每次延迟平均耗时,cycle,8048.853,9161.026,10648.469,10039.747
延迟-L1→L2,每次延迟平均耗时,ns,40244.269,45805.132,53242.346,50198.738
延迟-L1→L2,平均耗时/发生间隔,x,2.722,2.933,2.956,2.205


L2→DRAM,l2_wb_dirty,条,43,64,103,214
L2→DRAM,需校验 required,条,9,8,37,140
L2→DRAM,写回时未校验 unverified,条,2,4,8,35
L2→DRAM,未校验占比,%,22.222,50,21.622,25
延迟-L2→DRAM,延迟事件数 events,次,2,4,8,35
延迟-L2→DRAM,平均多久发生一次（间隔）,cycle,505733.5,531830.25,622779.625,374358.6
延迟-L2→DRAM,平均多久发生一次（间隔）,ns,2528667.5,2659151.25,3113898.125,1871793
延迟-L2→DRAM,每次延迟平均耗时,cycle,3672.5,13452,10217.875,12932
延迟-L2→DRAM,每次延迟平均耗时,ns,18362.5,67260,51089.375,64660
延迟-L2→DRAM,平均耗时/发生间隔,x,0.007262,0.025,0.016,0.035

延迟-L2→DRAM,dram_verify_cycle_sum writeback,cycle,258181,3760314,8691235,99313129
延迟-L2→DRAM,dram_verify_cycle_sum verification,cycle,265526,3814122,8772978,99765749
延迟-L2→DRAM,平均每个需校验请求的写回周期,cycle,28686.778,470039.25,234898.243,709379.493
延迟-L2→DRAM,平均每个需校验请求的校验周期,cycle,29502.889,476765.25,237107.514,712612.493
延迟-L2→DRAM,校验/写回 周期比,x,1.028,1.014,1.009,1.005
延迟-L2→DRAM,需校验请求发生间隔,cycle,112385.222,265915.125,134655.054,93589.65
延迟-L2→DRAM,需校验请求发生间隔,ns,561926.111,1329575.625,673275.27,467948.25
延迟-uncache store,延迟事件数 events,次,49,49,49,49
